objectid,filename (Images),title,Subtitles,Author,Subject,Genre,Item Type,Publisher,Publication Date,ISBN,Language,Keywords
coll001,travel001.jpg,Rick Steve's Easy Access Europe: A Guide for Travelers with Limited Mobility,Accessibility Resources and Tips,Rick Steves,European travel,Non-Fiction,Guidebook,Rick Steves,"May 4, 2006",1566916682,English,limited mobility
coll002,travel002.jpg,Europe on a Budget,,James Feess,,Reference,,,,,English,"Europe, budget"
coll003,,"Eat, Walk, Write",,Boyd Lemon,,,Audiobook,Boyd Lemon,"September 07, 2016",,English,
coll004,,,,,,,,,,,,
coll005,,,,,,,,,,,,
coll006,,,,,,,,,,,,
coll007,,,,,,,,,,,,
coll008,,,,,,,,,,,,
coll009,,,,,,,,,,,,
coll010,,,,,,,,,,,,
coll011,,,,,,,,,,,,
coll012,,,,,,,,,,,,
coll013,,,,,,,,,,,,
